"L","s","j","as_if","Lambda.1.2.","Lambda.1.3.","Lambda.2.1.","Lambda.2.3.","run"
1000,1,1,0,0.858905052987446,0.516887284673567,1.86944318612399,0.60517516923599,1
1000,1,1,1,1.21530988577855,1.81658686645842,1.54718200853479,1.21530988577855,1
1000,2,1,0,1.04971332186158,0.534150284319067,1.98638071368218,0.680130369416777,1
1000,2,1,1,1.19679071989369,1.11357330460272,1.90224371757864,1.11357330460272,1
1000,3,1,0,1.00583267566762,0.54556164383221,2.11804689760074,0.746751183751998,1
1000,3,1,1,0.994852601054581,1.62453843364318,1.38773305904404,0.995381919152244,1
1000,6,1,0,1.37186043243266,0.655182303792115,1.43279064864899,0.810930216216329,1
1000,6,1,1,1.28852709909932,2.28502042418321,2.43279064864899,1.28852709909932,1
1000,1,2,0,1.26193407687172,2.17774907219716,1.42379440659104,1.46882085181992,1
1000,1,2,1,1.1684897331406,2.11010000631983,1.76306954862222,2.3655443153602,1
1000,2,2,0,1.30921464940121,2.09958333043268,1.32133775042616,1.37245989973941,1
1000,2,2,1,1.86071016101926,1.86071016101926,1.88062474935309,1.86071016101926,1
1000,3,2,0,1.35465162875902,2.00865262736178,1.3824588011382,1.33462566376913,1
1000,3,2,1,1.70901780655846,2.57554802608736,2.28278575775907,1.70901780655846,1
1000,6,2,0,1.62186043243266,0.716395324324493,1.68279064864899,1.10942324952804,1
1000,6,2,1,1.62186043243266,1.62186043243266,1.62186043243266,1.62186043243266,1
1000,1,1,0,2.37257132148833,0.654054645071684,1.7670151335669,0.679708706398785,2
1000,1,1,1,2.26248245645926,1.26248245645926,3.12334610434075,1.26248245645926,2
1000,2,1,0,2.12628283453484,0.616161677758378,1.71156402551092,0.776156865959996,2
1000,2,1,1,2.34964469532118,1.34964469532118,3.41667164493529,1.34964469532118,2
1000,3,1,0,2.19790282889559,0.635102299505267,1.11792907773182,0.666999000512761,2
1000,3,1,1,1.48554436962341,1.50353866717599,2.04895502598729,1.84051970165563,2
1000,6,1,0,1.77014016465178,0.63306199099116,1.93279064864899,0.310930216216329,2
1000,6,1,1,1.42186043243266,1.42186043243266,2.43279064864899,1.42186043243266,2
1000,1,2,0,2.4292514672293,0.584015968543069,1.50639091654783,0.812518421382229,2
1000,1,2,1,2.03744088687469,1.88468960021099,2.9055300185476,1.88468960021099,2
1000,2,2,0,2.30350494488292,0.537607700771355,1.42198574100643,0.680025903155647,2
1000,2,2,1,1.55322504303406,1.47387929981222,1.47387929981222,1.47387929981222,2
1000,3,2,0,2.38397341526458,0.638092262814491,1.37510297271081,0.848026034431,2
1000,3,2,1,1.88147962275051,1.76532522436659,1.76532522436659,1.76532522436659,2
1000,6,2,0,2.1293512825906,0.592644266151936,0.780409696268036,0.962912877910752,2
1000,6,2,1,1.55279054666239,1.47344480344055,1.47344480344055,1.47344480344055,2
1000,1,1,0,0.658189181610246,0.774218385165027,1.07262782863342,0.996241155835047,3
1000,1,1,1,1.66139866525352,1.66139866525352,2.21112610092271,1.66139866525352,3
1000,2,1,0,0.68005403393103,0.831795908018675,1.12403980714533,0.969979549643652,3
