"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796W88","Bill","8-Week","05/05/2022","05/10/2022","07/05/2022","99.889556"
"912796XU8","Bill","119-Day","05/04/2022","05/10/2022","09/06/2022","99.595069"
"912796S67","Bill","13-Week","05/02/2022","05/05/2022","08/04/2022","99.769972"
"912796N96","Bill","26-Week","05/02/2022","05/05/2022","11/03/2022","99.282111"
"912796V30","Bill","4-Week","04/28/2022","05/03/2022","05/31/2022","99.962667"
"912796W39","Bill","8-Week","04/28/2022","05/03/2022","06/28/2022","99.889556"
"91282CEM9","Note","7-Year","04/28/2022","05/02/2022","04/30/2029","99.792275"
"912796XP9","Bill","119-Day","04/27/2022","05/03/2022","08/30/2022","99.633083"
"91282CEL1","Note","2-Year","04/27/2022","05/02/2022","04/30/2024","99.999991"
"91282CEN7","Note","5-Year","04/27/2022","05/02/2022","04/30/2027","99.837649"
"91282CEK3","Note","2-Year","04/26/2022","05/02/2022","04/30/2024","99.835616"
"912796S59","Bill","13-Week","04/25/2022","04/28/2022","07/28/2022","99.775028"
"912796V71","Bill","26-Week","04/25/2022","04/28/2022","10/27/2022","99.307389"
"91282CEJ6","Note","5-Year","04/21/2022","04/29/2022","04/15/2027","102.762649"
"912796V22","Bill","4-Week","04/21/2022","04/26/2022","05/24/2022","99.961111"
"912796W21","Bill","8-Week","04/21/2022","04/26/2022","06/21/2022","99.902778"
"912810TF5","Bond","19-Year 10-Month","04/20/2022","05/02/2022","02/15/2042","89.399717"
"912796XN4","Bill","119-Day","04/20/2022","04/26/2022","08/23/2022","99.646306"
"912796V48","Bill","52-Week","04/19/2022","04/21/2022","04/20/2023","98.109222"
"912796S42","Bill","13-Week","04/18/2022","04/21/2022","07/21/2022","99.782611"
"912796V63","Bill","26-Week","04/18/2022","04/21/2022","10/20/2022","99.368056"
"912796U98","Bill","4-Week","04/14/2022","04/19/2022","05/17/2022","99.971222"
"912796V97","Bill","8-Week","04/14/2022","04/19/2022","06/14/2022","99.911333"
"912796XM6","Bill","119-Day","04/13/2022","04/19/2022","08/16/2022","99.681014"
"912810TD0","Bond","29-Year 10-Month","04/13/2022","04/18/2022","02/15/2052","88.643787"
"91282CDY4","Note","9-Year 10-Month","04/12/2022","04/18/2022","02/15/2032","92.751781"
"91282CEH0","Note","3-Year","04/11/2022","04/18/2022","04/15/2025","99.677225"
"912796K57","Bill","13-Week","04/11/2022","04/14/2022","07/14/2022","99.801569"
"912796V55","Bill","26-Week","04/11/2022","04/14/2022","10/13/2022","99.383222"
"912796U80","Bill","4-Week","04/07/2022","04/12/2022","05/10/2022","99.984056"
"912796V89","Bill","8-Week","04/07/2022","04/12/2022","06/07/2022","99.922222"
"912796XL8","Bill","119-Day","04/06/2022","04/12/2022","08/09/2022","99.699194"
"912796R68","Bill","13-Week","04/04/2022","04/07/2022","07/07/2022","99.830639"
"912796M89","Bill","26-Week","04/04/2022","04/07/2022","10/06/2022","99.438833"
"912796U72","Bill","4-Week","03/31/2022","04/05/2022","05/03/2022","99.989500"
"912796V30","Bill","8-Week","03/31/2022","04/05/2022","05/31/2022","99.940889"
"912796X46","Bill","119-Day","03/30/2022","04/05/2022","08/02/2022","99.733903"
"91282CEE7","Note","7-Year","03/29/2022","03/31/2022","03/31/2029","99.208197"
"912796R50","Bill","13-Week","03/28/2022","03/31/2022","06/30/2022","99.847069"
"912796U64","Bill","26-Week","03/28/2022","03/31/2022","09/29/2022","99.469167"
"91282CEG2","Note","2-Year","03/28/2022","03/31/2022","03/31/2024","99.776642"
"91282CEF4","Note","5-Year","03/28/2022","03/31/2022","03/31/2027","99.799301"
"91282CDX6","Note","9-Year 10-Month","03/24/2022","03/31/2022","01/15/2032","108.705125"
"912796U23","Bill","4-Week","03/24/2022","03/29/2022","04/26/2022","99.989500"
"912796V22","Bill","8-Week","03/24/2022","03/29/2022","05/24/2022","99.953333"
"912810TF5","Bond","19-Year 11-Month","03/23/2022","03/31/2022","02/15/2042","95.753797"
"912796X38","Bill","119-Day","03/23/2022","03/29/2022","07/26/2022","99.765306"
"91282CDU2","Note","1-Year 10-Month","03/23/2022","03/25/2022","01/31/2024","100.074861"
"912796U31","Bill","52-Week","03/22/2022","03/24/2022","03/23/2023","98.392333"
"912796R43","Bill","13-Week","03/21/2022","03/24/2022","06/23/2022","99.878667"
"912796U56","Bill","26-Week","03/21/2022","03/24/2022","09/22/2022","99.560167"
"912796T90","Bill","4-Week","03/17/2022","03/22/2022","04/19/2022","99.985222"
"912796U98","Bill","8-Week","03/17/2022","03/22/2022","05/17/2022","99.953333"
"912796X20","Bill","119-Day","03/16/2022","03/22/2022","07/19/2022","99.780181"
"912796J42","Bill","13-Week","03/14/2022","03/17/2022","06/16/2022","99.886250"
"912796U49","Bill","26-Week","03/14/2022","03/17/2022","09/15/2022","99.585444"
"912796T82","Bill","4-Week","03/10/2022","03/15/2022","04/12/2022","99.984833"
"912796U80","Bill","8-Week","03/10/2022","03/15/2022","05/10/2022","99.958778"
"912810TD0","Bond","29-Year 11-Month","03/10/2022","03/15/2022","02/15/2052","97.331824"
"912796W96","Bill","119-Day","03/09/2022","03/15/2022","07/12/2022","99.818194"
"91282CDY4","Note","9-Year 11-Month","03/09/2022","03/15/2022","02/15/2032","99.594019"
"91282CED9","Note","3-Year","03/08/2022","03/15/2022","03/15/2025","99.927276"
"912796R35","Bill","13-Week","03/07/2022","03/10/2022","06/09/2022","99.903944"
"912796M71","Bill","26-Week","03/07/2022","03/10/2022","09/08/2022","99.641056"
"912796T74","Bill","4-Week","03/03/2022","03/08/2022","04/05/2022","99.987167"
"912796U72","Bill","8-Week","03/03/2022","03/08/2022","05/03/2022","99.968111"
"912796W88","Bill","119-Day","03/02/2022","03/08/2022","07/05/2022","99.823153"
"912796Q44","Bill","13-Week","02/28/2022","03/03/2022","06/02/2022","99.909000"
"912796T66","Bill","26-Week","02/28/2022","03/03/2022","09/01/2022","99.661278"
"912796T25","Bill","4-Week","02/24/2022","03/01/2022","03/29/2022","99.996111"
"912796U23","Bill","8-Week","02/24/2022","03/01/2022","04/26/2022","99.968889"
"91282CEB3","Note","7-Year","02/24/2022","02/28/2022","02/28/2029","99.804270"
"912796W39","Bill","119-Day","02/23/2022","03/01/2022","06/28/2022","99.811583"
"91282CEC1","Note","5-Year","02/23/2022","02/28/2022","02/28/2027","99.976245"
"91282CDU2","Note","1-Year 11-Month","02/23/2022","02/25/2022","01/31/2024","100.068232"
"91282CEA5","Note","2-Year","02/22/2022","02/28/2022","02/29/2024","99.896026"
"912796Q36","Bill","13-Week","02/22/2022","02/24/2022","05/26/2022","99.903944"
"912796T58","Bill","26-Week","02/22/2022","02/24/2022","08/25/2022","99.641056"
"912796T33","Bill","52-Week","02/22/2022","02/24/2022","02/23/2023","98.842278"
"912810TE8","Bond","30-Year","02/17/2022","02/28/2022","02/15/2052","98.102682"
"912796S91","Bill","4-Week","02/17/2022","02/22/2022","03/22/2022","99.993778"
"912796T90","Bill","8-Week","02/17/2022","02/22/2022","04/19/2022","99.961111"
"912810TF5","Bond","20-Year","02/16/2022","02/28/2022","02/15/2042","99.667386"
"912796W21","Bill","119-Day","02/16/2022","02/22/2022","06/21/2022","99.818194"
"912796H44","Bill","13-Week","02/14/2022","02/17/2022","05/19/2022","99.888778"
"912796T41","Bill","26-Week","02/14/2022","02/17/2022","08/18/2022","99.610722"
"912796S83","Bill","4-Week","02/10/2022","02/15/2022","03/15/2022","99.998444"
"912796T82","Bill","8-Week","02/10/2022","02/15/2022","04/12/2022","99.961111"
"912810TD0","Bond","30-Year","02/10/2022","02/15/2022","02/15/2052","98.067757"
"912796V97","Bill","119-Day","02/09/2022","02/15/2022","06/14/2022","99.857861"
"91282CDY4","Note","10-Year","02/09/2022","02/15/2022","02/15/2032","99.737071"
"91282CDZ1","Note","3-Year","02/08/2022","02/15/2022","02/15/2025","99.731529"
"912796Q28","Bill","13-Week","02/07/2022","02/10/2022","05/12/2022","99.926694"
"912796L64","Bill","26-Week","02/07/2022","02/10/2022","08/11/2022","99.706778"
"912796S75","Bill","4-Week","02/03/2022","02/08/2022","03/08/2022","99.997278"
"912796T74","Bill","8-Week","02/03/2022","02/08/2022","04/05/2022","99.978222"
"912796V89","Bill","119-Day","02/02/2022","02/08/2022","06/07/2022","99.887611"
"912796P45","Bill","13-Week","01/31/2022","02/03/2022","05/05/2022","99.939333"
"912796S67","Bill","26-Week","01/31/2022","02/03/2022","08/04/2022","99.747222"
"912796S26","Bill","4-Week","01/27/2022","02/01/2022","03/01/2022","99.997278"
"912796T25","Bill","8-Week","01/27/2022","02/01/2022","03/29/2022","99.978222"
"91282CDW8","Note","7-Year","01/27/2022","01/31/2022","01/31/2029","99.875422"
"912796V30","Bill","119-Day","01/26/2022","02/01/2022","05/31/2022","99.907444"
"91282CDU2","Note","2-Year","01/26/2022","01/31/2022","01/31/2024","100.000000"
"912828Z78","Note","5-Year","01/25/2022","01/31/2022","01/31/2027","99.841748"
"912796S34","Bill","52-Week","01/25/2022","01/27/2022","01/26/2023","99.363000"
"91282CDV0","Note","2-Year","01/24/2022","01/31/2022","01/31/2024","99.772818"
"912796P37","Bill","13-Week","01/24/2022","01/27/2022","04/28/2022","99.951972"
"912796S59","Bill","26-Week","01/24/2022","01/27/2022","07/28/2022","99.807889"
"91282CDX6","Note","10-Year","01/20/2022","01/31/2022","01/15/2032","107.081463"
"912796R92","Bill","4-Week","01/20/2022","01/25/2022","02/22/2022","99.996889"
"912796S91","Bill","8-Week","01/20/2022","01/25/2022","03/22/2022","99.986778"
"912810TC2","Bond","19-Year 10-Month","01/19/2022","01/31/2022","11/15/2041","96.646052"
"912796V22","Bill","119-Day","01/19/2022","01/25/2022","05/24/2022","99.909097"
"912796G45","Bill","13-Week","01/18/2022","01/20/2022","04/21/2022","99.957028"
"912796S42","Bill","26-Week","01/18/2022","01/20/2022","07/21/2022","99.815472"
"912796R84","Bill","4-Week","01/13/2022","01/18/2022","02/15/2022","99.996889"
"912796S83","Bill","8-Week","01/13/2022","01/18/2022","03/15/2022","99.992222"
"912810TB4","Bond","29-Year 10-Month","01/13/2022","01/18/2022","11/15/2051","95.566819"
"912796U98","Bill","119-Day","01/12/2022","01/18/2022","05/17/2022","99.933889"
"91282CDJ7","Note","9-Year 10-Month","01/12/2022","01/18/2022","11/15/2031","96.866042"
"91282CDS7","Note","3-Year","01/11/2022","01/18/2022","01/15/2025","99.671988"
"912796P29","Bill","13-Week","01/10/2022","01/13/2022","04/14/2022","99.969667"
"912796K57","Bill","26-Week","01/10/2022","01/13/2022","07/14/2022","99.860972"
"912796R76","Bill","4-Week","01/06/2022","01/11/2022","02/08/2022","99.996111"
"912796S75","Bill","8-Week","01/06/2022","01/11/2022","03/08/2022","99.991444"
"912796U80","Bill","119-Day","01/05/2022","01/11/2022","05/10/2022","99.950417"
"912796N47","Bill","13-Week","01/03/2022","01/06/2022","04/07/2022","99.977250"
"912796R68","Bill","26-Week","01/03/2022","01/06/2022","07/07/2022","99.888778"
"912796Q93","Bill","4-Week","12/30/2021","01/04/2022","02/01/2022","99.995722"
"912796S26","Bill","8-Week","12/30/2021","01/04/2022","03/01/2022","99.991444"
"912796U72","Bill","119-Day","12/29/2021","01/04/2022","05/03/2022","99.958681"
"91282CDE8","Note","1-Year 10-Month","12/29/2021","12/31/2021","10/31/2023","100.009279"
"91282CDP3","Note","7-Year","12/29/2021","12/31/2021","12/31/2028","99.304232"
"91282CDQ1","Note","5-Year","12/28/2021","12/31/2021","12/31/2026","99.937202"
"912796R27","Bill","52-Week","12/28/2021","12/30/2021","12/29/2022","99.605667"
"91282CDR9","Note","2-Year","12/27/2021","12/31/2021","12/31/2023","99.962362"
"912796N39","Bill","13-Week","12/27/2021","12/30/2021","03/31/2022","99.978514"
"912796R50","Bill","26-Week","12/27/2021","12/30/2021","06/30/2022","99.893833"
"912796Q85","Bill","4-Week","12/23/2021","12/28/2021","01/25/2022","99.996889"
"912796R92","Bill","8-Week","12/23/2021","12/28/2021","02/22/2022","99.992222"
"91282CDC2","Note","4-Year 10-Month","12/22/2021","12/31/2021","10/15/2026","109.428984"
"912796U23","Bill","119-Day","12/22/2021","12/28/2021","04/26/2022","99.963639"
"912810TC2","Bond","19-Year 11-Month","12/21/2021","12/31/2021","11/15/2041","100.950671"
"912796F38","Bill","13-Week","12/20/2021","12/23/2021","03/24/2022","99.981042"
"912796R43","Bill","26-Week","12/20/2021","12/23/2021","06/23/2022","99.919111"
"912796M97","Bill","78-Day","12/20/2021","12/22/2021","03/10/2022","99.984833"
"912796K73","Bill","23-Day","12/17/2021","12/21/2021","01/13/2022","99.996806"
"912796Q77","Bill","4-Week","12/16/2021","12/21/2021","01/18/2022","99.997667"
"912796R84","Bill","8-Week","12/16/2021","12/21/2021","02/15/2022","99.992222"
"912796T90","Bill","119-Day","12/15/2021","12/21/2021","04/19/2022","99.970250"
"912796N21","Bill","13-Week","12/13/2021","12/16/2021","03/17/2022","99.986097"
"912796J42","Bill","26-Week","12/13/2021","12/16/2021","06/16/2022","99.934278"
"912810TB4","Bond","29-Year 11-Month","12/09/2021","12/15/2021","11/15/2051","99.543665"
"912796Q69","Bill","4-Week","12/09/2021","12/14/2021","01/11/2022","99.997667"
"912796R76","Bill","8-Week","12/09/2021","12/14/2021","02/08/2022","99.992222"
"91282CDJ7","Note","9-Year 11-Month","12/08/2021","12/15/2021","11/15/2031","98.687294"
"912796T82","Bill","119-Day","12/08/2021","12/14/2021","04/12/2022","99.970250"
"91282CDN8","Note","3-Year","12/07/2021","12/15/2021","12/15/2024","100.000000"
"912796M97","Bill","13-Week","12/06/2021","12/09/2021","03/10/2022","99.986097"
"912796R35","Bill","26-Week","12/06/2021","12/09/2021","06/09/2022","99.946917"
"912796Q51","Bill","4-Week","12/02/2021","12/07/2021","01/04/2022","99.996889"
"912796Q93","Bill","8-Week","12/02/2021","12/07/2021","02/01/2022","99.993000"
"912810TC2","Bond","19-Year 11-Month","12/02/2021","12/06/2021","11/15/2041","102.121152"
"912796ZX0","Bill","8-Day","12/01/2021","12/07/2021","12/15/2021","99.996444"
"912796T74","Bill","119-Day","12/01/2021","12/07/2021","04/05/2022","99.975208"
"912796J75","Bill","21-Day","11/30/2021","12/02/2021","12/23/2021","99.990667"
"912796P94","Bill","52-Week","11/30/2021","12/02/2021","12/01/2022","99.757333"
"912796L98","Bill","13-Week","11/29/2021","12/02/2021","03/03/2022","99.987361"
"912796Q44","Bill","26-Week","11/29/2021","12/02/2021","06/02/2022","99.954500"
"912796P60","Bill","14-Day","11/24/2021","11/30/2021","12/14/2021","99.997667"
"912796P86","Bill","4-Week","11/24/2021","11/30/2021","12/28/2021","99.990278"
"912796Q85","Bill","8-Week","11/24/2021","11/30/2021","01/25/2022","99.993000"
"912796T25","Bill","119-Day","11/24/2021","11/30/2021","03/29/2022","99.976861"
"91282CDL2","Note","7-Year","11/23/2021","11/30/2021","11/30/2028","99.419180"
"912796Y94","Bill","35-Day","11/23/2021","11/26/2021","12/31/2021","99.985417"
"91282CDE8","Note","1-Year 11-Month","11/23/2021","11/26/2021","10/31/2023","99.994138"
"91282CDM0","Note","2-Year","11/22/2021","11/30/2021","11/30/2023","99.755904"
"91282CDK4","Note","5-Year","11/22/2021","11/30/2021","11/30/2026","99.667191"
"912796D30","Bill","13-Week","11/22/2021","11/26/2021","02/24/2022","99.987500"
"912796Q36","Bill","26-Week","11/22/2021","11/26/2021","05/26/2022","99.964806"
"91282CCM1","Note","9-Year 8-Month","11/18/2021","11/30/2021","07/15/2031","115.601579"
"912796P78","Bill","4-Week","11/18/2021","11/23/2021","12/21/2021","99.991444"
"912796Q77","Bill","8-Week","11/18/2021","11/23/2021","01/18/2022","99.993000"
"912810TC2","Bond","20-Year","11/17/2021","11/30/2021","11/15/2041","98.940421"
"912796ZX0","Bill","22-Day","11/17/2021","11/23/2021","12/15/2021","99.992056"
"912796S91","Bill","119-Day","11/17/2021","11/23/2021","03/22/2022","99.981819"
"9127965G0","Bill","14-Day","11/16/2021","11/18/2021","12/02/2021","99.997861"
"912796L80","Bill","13-Week","11/15/2021","11/18/2021","02/17/2022","99.988625"
"912796H44","Bill","26-Week","11/15/2021","11/18/2021","05/19/2022","99.967139"
"912796P60","Bill","4-Week","11/10/2021","11/16/2021","12/14/2021","99.996111"
"912796Q69","Bill","8-Week","11/10/2021","11/16/2021","01/11/2022","99.990667"
"912796S83","Bill","119-Day","11/10/2021","11/16/2021","03/15/2022","99.981819"
"912810TB4","Bond","30-Year","11/10/2021","11/15/2021","11/15/2051","98.526943"
"91282CDJ7","Note","10-Year","11/09/2021","11/15/2021","11/15/2031","99.359650"
"91282CDH1","Note","3-Year","11/08/2021","11/15/2021","11/15/2024","100.000000"
"912796L72","Bill","13-Week","11/08/2021","11/12/2021","02/10/2022","99.988750"
"912796Q28","Bill","26-Week","11/08/2021","11/12/2021","05/12/2022","99.967319"
"912796P52","Bill","4-Week","11/04/2021","11/09/2021","12/07/2021","99.996889"
"912796Q51","Bill","8-Week","11/04/2021","11/09/2021","01/04/2022","99.991444"
"912796S75","Bill","119-Day","11/03/2021","11/09/2021","03/08/2022","99.981819"
"912796N96","Bill","52-Week","11/02/2021","11/04/2021","11/03/2022","99.838222"
"912796K99","Bill","13-Week","11/01/2021","11/04/2021","02/03/2022","99.987361"
"912796P45","Bill","26-Week","11/01/2021","11/04/2021","05/05/2022","99.967139"
"912796N88","Bill","4-Week","10/28/2021","11/02/2021","11/30/2021","99.995722"
"912796P86","Bill","8-Week","10/28/2021","11/02/2021","12/28/2021","99.985222"
"91282CDF5","Note","7-Year","10/28/2021","11/01/2021","10/31/2028","99.429922"
"912796S26","Bill","119-Day","10/27/2021","11/02/2021","03/01/2022","99.981819"
"91282CDE8","Note","2-Year","10/27/2021","11/01/2021","10/31/2023","100.000000"
"91282CDG3","Note","5-Year","10/27/2021","11/01/2021","10/31/2026","99.845040"
"91282CDD0","Note","2-Year","10/26/2021","11/01/2021","10/31/2023","99.789555"
"912796ZX0","Bill","48-Day","10/26/2021","10/28/2021","12/15/2021","99.986667"
"912796C31","Bill","13-Week","10/25/2021","10/28/2021","01/27/2022","99.986097"
"912796P37","Bill","26-Week","10/25/2021","10/28/2021","04/28/2022","99.969667"
"91282CDC2","Note","5-Year","10/21/2021","10/29/2021","10/15/2026","109.509314"
"912796N70","Bill","4-Week","10/21/2021","10/26/2021","11/23/2021","99.996111"
"912796P78","Bill","8-Week","10/21/2021","10/26/2021","12/21/2021","99.984444"
"912810TA6","Bond","19-Year 10-Month","10/20/2021","11/01/2021","08/15/2041","94.354444"
"912796R92","Bill","119-Day","10/20/2021","10/26/2021","02/22/2022","99.981819"
"912796H69","Bill","27-Day","10/20/2021","10/22/2021","11/18/2021","99.995875"
"912796N88","Bill","40-Day","10/19/2021","10/21/2021","11/30/2021","99.993889"
"912796K81","Bill","13-Week","10/18/2021","10/21/2021","01/20/2022","99.986097"
"912796G45","Bill","26-Week","10/18/2021","10/21/2021","04/21/2022","99.969667"
"912796N62","Bill","4-Week","10/14/2021","10/19/2021","11/16/2021","99.997278"
"912796P60","Bill","8-Week","10/14/2021","10/19/2021","12/14/2021","99.987556"
"912796H77","Bill","39-Day","10/14/2021","10/18/2021","11/26/2021","99.994042"
"912796R84","Bill","119-Day","10/13/2021","10/19/2021","02/15/2022","99.983472"
"912810SZ2","Bond","29-Year 10-Month","10/13/2021","10/15/2021","08/15/2051","98.908044"
"91282CDB4","Note","3-Year","10/12/2021","10/15/2021","10/15/2024","99.970331"
"91282CCS8","Note","9-Year 10-Month","10/12/2021","10/15/2021","08/15/2031","96.968273"
"912796K73","Bill","13-Week","10/12/2021","10/14/2021","01/13/2022","99.987361"
"912796P29","Bill","26-Week","10/12/2021","10/14/2021","04/14/2022","99.972194"
"912796N54","Bill","4-Week","10/07/2021","10/12/2021","11/09/2021","99.997278"
"912796P52","Bill","8-Week","10/07/2021","10/12/2021","12/07/2021","99.982889"
"912796J67","Bill","64-Day","10/06/2021","10/13/2021","12/16/2021","99.991111"
"912796R76","Bill","119-Day","10/06/2021","10/12/2021","02/08/2022","99.981819"
"912796ZB8","Bill","8-Day","10/05/2021","10/07/2021","10/15/2021","99.996889"
"912796M89","Bill","52-Week","10/05/2021","10/07/2021","10/06/2022","99.909000"
"912796K65","Bill","13-Week","10/04/2021","10/07/2021","01/06/2022","99.989889"
"912796N47","Bill","26-Week","10/04/2021","10/07/2021","04/07/2022","99.972194"
"912796M63","Bill","4-Week","09/30/2021","10/05/2021","11/02/2021","99.996500"
"912796N88","Bill","8-Week","09/30/2021","10/05/2021","11/30/2021","99.993778"
"912796Q93","Bill","119-Day","09/29/2021","10/05/2021","02/01/2022","99.983472"
"91282CCY5","Note","7-Year","09/28/2021","09/30/2021","09/30/2028","99.453681"
"912796A90","Bill","13-Week","09/27/2021","09/30/2021","12/30/2021","99.991153"
"912796N39","Bill","26-Week","09/27/2021","09/30/2021","03/31/2022","99.974722"
"91282CDA6","Note","2-Year","09/27/2021","09/30/2021","09/30/2023","99.880464"
"91282CCZ2","Note","5-Year","09/27/2021","09/30/2021","09/30/2026","99.440349"
"91282CCM1","Note","9-Year 10-Month","09/23/2021","09/30/2021","07/15/2031","112.982468"
"912796M55","Bill","4-Week","09/23/2021","09/28/2021","10/26/2021","99.996111"
"912796N70","Bill","8-Week","09/23/2021","09/28/2021","11/23/2021","99.994556"
"912796Q85","Bill","119-Day","09/22/2021","09/28/2021","01/25/2022","99.988431"
"91282CCQ2","Note","1-Year 10-Month","09/22/2021","09/24/2021","07/31/2023","100.005620"
"912810TA6","Bond","19-Year 11-Month","09/21/2021","09/30/2021","08/15/2041","99.249087"
"912796J75","Bill","13-Week","09/20/2021","09/23/2021","12/23/2021","99.991153"
"912796F38","Bill","26-Week","09/20/2021","09/23/2021","03/24/2022","99.977250"
"912796M48","Bill","4-Week","09/16/2021","09/21/2021","10/19/2021","99.995722"
"912796N62","Bill","8-Week","09/16/2021","09/21/2021","11/16/2021","99.991444"
"912796Q77","Bill","119-Day","09/15/2021","09/21/2021","01/18/2022","99.985125"
"912796J67","Bill","13-Week","09/13/2021","09/16/2021","12/16/2021","99.989889"
"912796N21","Bill","26-Week","09/13/2021","09/16/2021","03/17/2022","99.974722"
"912810SZ2","Bond","29-Year 11-Month","09/09/2021","09/15/2021","08/15/2051","102.042432"
"912796M30","Bill","4-Week","09/09/2021","09/14/2021","10/12/2021","99.995333"
"912796N54","Bill","8-Week","09/09/2021","09/14/2021","11/09/2021","99.989889"
"91282CCS8","Note","9-Year 11-Month","09/08/2021","09/15/2021","08/15/2031","99.184765"
"912796Q69","Bill","119-Day","09/08/2021","09/14/2021","01/11/2022","99.985125"
"91282CCX7","Note","3-Year","09/07/2021","09/15/2021","09/15/2024","99.785680"
"912796F61","Bill","21-Day","09/07/2021","09/09/2021","09/30/2021","99.997083"
"912796J59","Bill","13-Week","09/07/2021","09/09/2021","12/09/2021","99.988625"
"912796M97","Bill","26-Week","09/07/2021","09/09/2021","03/10/2022","99.974722"
"912796M71","Bill","52-Week","09/07/2021","09/09/2021","09/08/2022","99.924167"
"912796M22","Bill","4-Week","09/02/2021","09/07/2021","10/05/2021","99.997278"
"912796M63","Bill","8-Week","09/02/2021","09/07/2021","11/02/2021","99.989889"
"912796Q51","Bill","119-Day","09/01/2021","09/07/2021","01/04/2022","99.985125"
"912796F53","Bill","21-Day","08/31/2021","09/02/2021","09/23/2021","99.997667"
"9127965G0","Bill","13-Week","08/30/2021","09/02/2021","12/02/2021","99.988625"
"912796L98","Bill","26-Week","08/30/2021","09/02/2021","03/03/2022","99.972194"
"912796L56","Bill","4-Week","08/26/2021","08/31/2021","09/28/2021","99.997278"
"912796M55","Bill","8-Week","08/26/2021","08/31/2021","10/26/2021","99.990667"
"91282CCV1","Note","7-Year","08/26/2021","08/31/2021","08/31/2028","99.798822"
"912796P86","Bill","119-Day","08/25/2021","08/31/2021","12/28/2021","99.983472"
"91282CCW9","Note","5-Year","08/25/2021","08/31/2021","08/31/2026","99.604103"
"91282CCQ2","Note","1-Year 11-Month","08/25/2021","08/27/2021","07/31/2023","100.005852"
"91282CCU3","Note","2-Year","08/24/2021","08/31/2021","08/31/2023","99.766706"
"912796ZC6","Bill","67-Day","08/24/2021","08/26/2021","11/01/2021","99.988833"
"912796H77","Bill","13-Week","08/23/2021","08/26/2021","11/26/2021","99.985944"
"912796D30","Bill","26-Week","08/23/2021","08/26/2021","02/24/2022","99.974722"
"912810SV1","Bond","29-Year 6-Month","08/19/2021","08/31/2021","02/15/2051","117.718212"
"912796L49","Bill","4-Week","08/19/2021","08/24/2021","09/21/2021","99.996889"
"912796M48","Bill","8-Week","08/19/2021","08/24/2021","10/19/2021","99.991444"
"912810TA6","Bond","20-Year","08/18/2021","08/31/2021","08/15/2041","98.336995"
"912796P78","Bill","119-Day","08/18/2021","08/24/2021","12/21/2021","99.985125"
"912796F61","Bill","42-Day","08/17/2021","08/19/2021","09/30/2021","99.995333"
"912796ZB8","Bill","57-Day","08/17/2021","08/19/2021","10/15/2021","99.989708"
"912796H69","Bill","13-Week","08/16/2021","08/19/2021","11/18/2021","99.982306"
"912796L80","Bill","26-Week","08/16/2021","08/19/2021","02/17/2022","99.974722"
"912796L31","Bill","4-Week","08/12/2021","08/17/2021","09/14/2021","99.996500"
"912796M30","Bill","8-Week","08/12/2021","08/17/2021","10/12/2021","99.991444"
"912810SZ2","Bond","30-Year","08/12/2021","08/16/2021","08/15/2051","99.105786"
"912796P60","Bill","119-Day","08/11/2021","08/17/2021","12/14/2021","99.985125"
"91282CCS8","Note","10-Year","08/11/2021","08/16/2021","08/15/2031","99.160510"
"91282CCT6","Note","3-Year","08/10/2021","08/16/2021","08/15/2024","99.732422"
"912796F53","Bill","42-Day","08/10/2021","08/12/2021","09/23/2021","99.995333"
"912796L64","Bill","52-Week","08/10/2021","08/12/2021","08/11/2022","99.919111"
"912796H51","Bill","13-Week","08/09/2021","08/12/2021","11/12/2021","99.987222"
"912796L72","Bill","26-Week","08/09/2021","08/12/2021","02/10/2022","99.974722"
"912796L23","Bill","4-Week","08/05/2021","08/10/2021","09/07/2021","99.996889"
"912796M22","Bill","8-Week","08/05/2021","08/10/2021","10/05/2021","99.992222"
"912796P52","Bill","119-Day","08/04/2021","08/10/2021","12/07/2021","99.983472"
"912796F46","Bill","42-Day","08/03/2021","08/05/2021","09/16/2021","99.995333"
"9127964W6","Bill","13-Week","08/02/2021","08/05/2021","11/04/2021","99.987361"
"912796K99","Bill","26-Week","08/02/2021","08/05/2021","02/03/2022","99.972194"
"912796K40","Bill","4-Week","07/29/2021","08/03/2021","08/31/2021","99.996500"
"912796L56","Bill","8-Week","07/29/2021","08/03/2021","09/28/2021","99.993000"
"91282CCR0","Note","7-Year","07/29/2021","08/02/2021","07/31/2028","99.663627"
"912796N88","Bill","119-Day","07/28/2021","08/03/2021","11/30/2021","99.983472"
"91282CCQ2","Note","2-Year","07/28/2021","08/02/2021","07/31/2023","100.000000"
"91282CCP4","Note","5-Year","07/27/2021","08/02/2021","07/31/2026","99.583614"
"9127964L0","Bill","42-Day","07/27/2021","07/29/2021","09/09/2021","99.995333"
"91282CCN9","Note","2-Year","07/26/2021","08/02/2021","07/31/2023","99.824943"
"912796G78","Bill","13-Week","07/26/2021","07/29/2021","10/28/2021","99.987361"
"912796C31","Bill","26-Week","07/26/2021","07/29/2021","01/27/2022","99.974722"
"91282CCM1","Note","10-Year","07/22/2021","07/30/2021","07/15/2031","112.423650"
"912796K32","Bill","4-Week","07/22/2021","07/27/2021","08/24/2021","99.996500"
"912796L49","Bill","8-Week","07/22/2021","07/27/2021","09/21/2021","99.993000"
